id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
UgyvfM46J4zMPyuD0jp4AaABAg	0	0	2018-07-01 20:00:12	Jahra Hamid	we can&#39;t trust you Gail. zero trust .	UCqRCV8HNKlpFCxImG-ofRlA	http://www.youtube.com/channel/UCqRCV8HNKlpFCxImG-ofRlA	0		
UgyUajGEAO_zpQAmFK14AaABAg	0	0	2018-07-01 19:59:33	Jahra Hamid	because this started started from the time of your demi God Obama , Gail , you are as usual not intelligent enough to understand border security	UCqRCV8HNKlpFCxImG-ofRlA	http://www.youtube.com/channel/UCqRCV8HNKlpFCxImG-ofRlA	0		
Ugxo1ZpPaQ7_3bMUNqp4AaABAg	0	0	2018-07-01 13:53:54	Debbie Richardson	Block all illegals.	UCY9FoeyVmahu-CLLMvat3bQ	http://www.youtube.com/channel/UCY9FoeyVmahu-CLLMvat3bQ	0		
UgyKmCC_2plOJnsVYrt4AaABAg	0	0	2018-07-01 13:32:30	Thelma Parker	Gail is stupid, she didn&#39;t understand anything!	UCuAal4C5PLILGcXTf9JRnKQ	http://www.youtube.com/channel/UCuAal4C5PLILGcXTf9JRnKQ	0		
Ugzmz7d-rEBVmfp7iQ94AaABAg	0	0	2018-07-01 07:17:31	AMOR ch	border patrol 😁chief is mexican🇺🇸2018	UCk8GnxGeTY7dFOTDcM9WQhQ	http://www.youtube.com/channel/UCk8GnxGeTY7dFOTDcM9WQhQ	0		
Ugz4Ti_7weNeNHJZGXh4AaABAg	0	0	2018-07-01 06:19:37	Xyz Same	<a href="https://www.youtube.com/watch?v=IUzMUHhkNVQ&amp;t=4m30s">4:30</a> &quot;... we treat them as criminals and then we must separate them &quot; (in a singsong voice). Exactely - and former admins were not so foolish!! Crossing the border in desperation OR asking for asylum is NOT A CRIME. - no one forces the admin - they could treat it as MISDEMEANOR. - keep them together in detention centers UNTIL A DECISION is made.<br /><br /> It would be the same process w/o the extra costs and cruetly !!! <br /><br />But then Trump could not BRAG about ZERO TOLERANCE.<br /><br />When you ignore the red light or jaywalk, you are not going to jail and are separated from your child . While the state takes your child and loses track of it.	UCr51HmsgC03OLi1a-TUlIUQ	http://www.youtube.com/channel/UCr51HmsgC03OLi1a-TUlIUQ	0		
UgynpMiDDaIyX8ffj-h4AaABAg	0	0	2018-07-01 05:51:37	Xyz Same	Spin doctor. The judge SAID the same, you get a receipt when you hand over you wallet, but no paperwork for the children ?? and that - NOW - SOMEONE has the information, does not meant the parents have it. - or a telephone number they can call.	UCr51HmsgC03OLi1a-TUlIUQ	http://www.youtube.com/channel/UCr51HmsgC03OLi1a-TUlIUQ	0		
Ugym5Qt1Yw05N-IAe1p4AaABAg	0	0	2018-07-01 02:00:47	juan tomas	Gale wake up, these people are going to lie to you, they want you to feel sorry for them !! Use your brain Gale !! BUILD the WALL !!	UCmmuuV_Q1VH_xZJJx4nSnVw	http://www.youtube.com/channel/UCmmuuV_Q1VH_xZJJx4nSnVw	0		
Ugx4AZ3LvqAhn-7ueaZ4AaABAg	0	0	2018-06-30 18:30:34	Angel of War I am	zero humanity ??<br />enforce the laws !!<br /><br />AND ship all illegals 1st class <br />back to their country !!<br /><br />build the wall !!	UCDGlLLue4xVxf2fazqxP_WQ	http://www.youtube.com/channel/UCDGlLLue4xVxf2fazqxP_WQ	0		
UgwG8fA22wkJFY75Kht4AaABAg	0	0	2018-06-30 17:44:21	Alien Anchor Baby	Americans don&#39;t get jail time for speeding. Only Mexicans and their kids get jailed for a stupid misdemeanor.	UChMO1f6GbBJHqMvz_33zVrA	http://www.youtube.com/channel/UChMO1f6GbBJHqMvz_33zVrA	0		
Ugwxoem9vohgMo4DA694AaABAg	0	0	2018-06-30 00:54:12	Lost Gonzo	he is a white man balls licker and if there&#39;s any justice may this MF be killed and may his benefits renege on his family	UCnEoVCeVuyg49HHIHV8ALPQ	http://www.youtube.com/channel/UCnEoVCeVuyg49HHIHV8ALPQ	0		
UgyskZ8bhh-xZDpieOJ4AaABAg	0	0	2018-06-30 00:19:15	Rick Ricky	Who&#39;s going to pay for the wall?	UCXk4DaeWpZ-ojeKSRLA7UPg	http://www.youtube.com/channel/UCXk4DaeWpZ-ojeKSRLA7UPg	0		
Ugy58nDuivMork_ki014AaABAg	0	0	2018-06-29 17:28:47	Tom Bender	...Anchor babies...0h multiple ID&#39;s...Good Lucky...?	UCsafCbatwXP6bRICrQEOOhA	http://www.youtube.com/channel/UCsafCbatwXP6bRICrQEOOhA	0		
UgzEHpwRqkbsU2G5VGx4AaABAg	0	0	2018-06-28 18:57:39	Noodle Queen	When a USA citizen commits a crime the kids are placed with a family member or with a foster family, not a baby jail ._. That’s just some BS	UCozD_2P5eNDOZpb2eOZP5aQ	http://www.youtube.com/channel/UCozD_2P5eNDOZpb2eOZP5aQ	0		
