id	replyCount	likeCount	publishedAt	authorName	text	authorChannelId	authorChannelUrl	isReply	isReplyTo	isReplyToName
Ugzg3tngs39STFCqwTd4AaABAg	0	3	2018-11-25 22:35:36	Adriana Marzana	Mexico is to blame for letting them into the country, very weak government for not protecting their southern border!shame!!!!!😤	UCQydaYVe3xhwyd1r_7rbMAA	http://www.youtube.com/channel/UCQydaYVe3xhwyd1r_7rbMAA	0		
UgxpXxi3KTrhwZsQODd4AaABAg	0	0	2018-11-25 22:35:30	Paul Rizzo	Break out the mustard gas hodedos!!	UCwd6hcUWnKnp6EPtrT77peQ	http://www.youtube.com/channel/UCwd6hcUWnKnp6EPtrT77peQ	0		
UgyGWFrRevv58YRg0IN4AaABAg	0	0	2018-11-25 22:34:59	blackham7	...Country roads...	UC7Ff_nreSPnIWqbvEFRUshQ	http://www.youtube.com/channel/UC7Ff_nreSPnIWqbvEFRUshQ	0		
UgyAMdcayvWm3Mt3JgN4AaABAg	0	0	2018-11-25 22:34:41	Club herbalife	All central Americans it&#39;s criminals ! Deported	UCItmDC4p3IwlHtr5rdMZMQw	http://www.youtube.com/channel/UCItmDC4p3IwlHtr5rdMZMQw	0		
UgyJ1LIzDMjAHJ05c694AaABAg	0	0	2018-11-25 22:34:34	Quiet Please	There was something fishy about this. First, how does the caravan arrive three weeks before the timing anticipated by our government and why would they take a path that is geographically a greater distance then the entry point in Brownsville Texas. Just doesn’t wash. I think there is a huge manipulation by both our government and the media that is taking place.These are supposed to be refugees from the Honduras. There is no way that they would across the entire country of Mexico, then go along our border when they could’ve entered in Tucson and try to enter in Tijuana. It is geographically not plausible. I think this one is being staged.	UCC1Wq5rMHSmhfdXdTGn6ryw	http://www.youtube.com/channel/UCC1Wq5rMHSmhfdXdTGn6ryw	0		
Ugy8SktzTWtHc64oSO94AaABAg	0	19	2018-11-25 22:34:27	Rick Deacon	Great Job President Trump . Thank You !	UCEaCogNqKGg9EH8woEtDPSA	http://www.youtube.com/channel/UCEaCogNqKGg9EH8woEtDPSA	0		
UgyS4RJr-ZTdKJzrlaZ4AaABAg	0	1	2018-11-25 22:34:13	Get IT J	I jus say, b careful how I treat people bc one day u may b crawling to their land. Amercia is losing its standing in the world bc of greed and the removal of a moral standard. There is a lot US has to pay for and need to repent from. B careful when pride , greed and racIan is allowed to rule the day as well as seeing homosex marriage as a legal right	UCdgOtaOTNifHWxIXO392vJA	http://www.youtube.com/channel/UCdgOtaOTNifHWxIXO392vJA	0		
Ugwh_KdJp0oE-zMfi0d4AaABAg	0	0	2018-11-25 22:34:02	Newbtuber	Looks like a zombie invansion	UCEVspliJQagX6dlyDAYnKYw	http://www.youtube.com/channel/UCEVspliJQagX6dlyDAYnKYw	0		
UgymEBEAdvxcypuR9Lh4AaABAg	0	0	2018-11-25 22:33:37	0zy liD0	Yes let them taste what is to invade lands of innocents people in the name of terrorist..... 🇹🇷🇹🇷	UCdzHvlQDTCSy-PEyiXQW1oQ	http://www.youtube.com/channel/UCdzHvlQDTCSy-PEyiXQW1oQ	0		
UgxVQw8NaU8OKgX2oXl4AaABAg	0	7	2018-11-25 22:33:36	Blitz None	Thank God for Trump	UCiPG9hvcfRO8WGtL68hYh6Q	http://www.youtube.com/channel/UCiPG9hvcfRO8WGtL68hYh6Q	0		
